"country","pop2022","area","region","subregion"
"Kyrgyzstan","6728.2710","199951","Asia","Central Asia"
"Nicaragua","6779.1000","130373","Americas","Central America"
"Bulgaria","6844.5970","110879","Europe","Eastern Europe"
"Libya","7040.7450","1759540","Africa","Northern Africa"
"Paraguay","7305.8430","406752","Americas","South America"
"Laos","7481.0230","236800","Asia","South-Eastern Asia"
"Hong Kong","7604.2990","1104","Asia","Eastern Asia"
"Sierra Leone","8306.4360","71740","Africa","Western Africa"
"Serbia","8653.0160","88361","Europe","Southern Europe"
"Togo","8680.8370","56785","Africa","Western Africa"
"Switzerland","8773.6370","41284","Europe","Western Europe"
"Israel","8922.8920","20770","Asia","Western Asia"
"Austria","9066.7100","83871","Europe","Western Europe"
"Papua New Guinea","9292.1690","462840","Oceania","Melanesia"
"Belarus","9432.8000","207600","Europe","Eastern Europe"
"Hungary","9606.2590","93028","Europe","Eastern Europe"
"Tajikistan","9957.4640","143100","Asia","Central Asia"
"United Arab Emirates","10081.7850","83600","Asia","Western Asia"
"Portugal","10140.5700","92090","Europe","Southern Europe"
"Sweden","10218.9710","450295","Europe","Northern Europe"
"Honduras","10221.2470","112492","Americas","Central America"
"Azerbaijan","10300.2050","86600","Asia","Western Asia"
"Jordan","10300.8690","89342","Asia","Western Asia"
"Greece","10316.6370","131990","Europe","Southern Europe"
"Czech Republic","10736.7840","78865","Europe","Eastern Europe"
"Dominican Republic","11056.3700","48671","Americas","Caribbean"
"Cuba","11305.6520","109884","Americas","Caribbean"
"South Sudan","11618.5110","619745","Africa","Middle Africa"
"Belgium","11668.2780","30528","Europe","Western Europe"
"Haiti","11680.2830","27750","Americas","Caribbean"
"Bolivia","11992.6560","1098581","Americas","South America"
"Tunisia","12046.6560","163610","Africa","Northern Africa"
"Burundi","12624.8400","27834","Africa","Eastern Africa"
"Benin","12784.7260","112622","Africa","Western Africa"
"Rwanda","13600.4640","26338","Africa","Eastern Africa"
"Guinea","13865.6910","245857","Africa","Western Africa"
"Zimbabwe","15331.4280","390757","Africa","Eastern Africa"
"Somalia","16841.7950","637657","Africa","Eastern Africa"
"Cambodia","17168.6390","181035","Asia","South-Eastern Asia"
"Netherlands","17211.4470","41850","Europe","Western Europe"
"Chad","17413.5800","1284000","Africa","Middle Africa"
"Senegal","17653.6710","196722","Africa","Western Africa"
"Ecuador","18113.3610","276841","Americas","South America"
"Guatemala","18584.0390","108889","Americas","Central America"
"Romania","19031.3350","238391","Europe","Eastern Europe"
"Kazakhstan","19205.0430","2724900","Asia","Central Asia"
"Chile","19250.1950","756102","Americas","South America"
"Syria","19364.8090","185180","Asia","Western Asia"
"Zambia","19470.2340","752612","Africa","Eastern Africa"
"Malawi","20180.8390","118484","Africa","Eastern Africa"
"Mali","21473.7640","1240192","Africa","Western Africa"
"Sri Lanka","21575.8420","65610","Asia","Southern Asia"
"Burkina Faso","22102.8380","272967","Africa","Western Africa"
"Taiwan","23888.5950","36193","Asia","Eastern Asia"
"North Korea","25990.6790","120538","Asia","Eastern Asia"
"Australia","26068.7920","7692024","Oceania","Australia and New Zealand"
"Niger","26083.6600","1267000","Africa","Western Africa"
"Ivory Coast","27742.2980","322463","Africa","Western Africa"
"Cameroon","27911.5480","475442","Africa","Middle Africa"
"Madagascar","29178.0770","587041","Africa","Eastern Africa"
"Venezuela","29266.9910","916445","Americas","South America"
"Nepal","30225.5820","147181","Asia","Southern Asia"
"Yemen","31154.8670","527968","Asia","Western Asia"
"Ghana","32395.4500","238533","Africa","Western Africa"
"Mozambique","33089.4610","801590","Africa","Eastern Africa"
"Malaysia","33181.0720","330803","Asia","South-Eastern Asia"
"Peru","33684.2080","1285216","Americas","South America"
"Uzbekistan","34382.0840","447400","Asia","Central Asia"
"Angola","35027.3430","1246700","Africa","Middle Africa"
"Saudi Arabia","35844.9090","2149690","Asia","Western Asia"
"Poland","37739.7850","312679","Europe","Eastern Europe"
"Morocco","37772.7560","446550","Africa","Northern Africa"
"Canada","38388.4190","9984670","Americas","Northern America"
"Afghanistan","40754.3880","652230","Asia","Southern Asia"
"Iraq","42164.9650","438317","Asia","Western Asia"
"Ukraine","43192.1220","603500","Europe","Eastern Europe"
"Algeria","45350.1480","2381741","Africa","Northern Africa"
"Sudan","45992.0200","1886068","Africa","Northern Africa"
"Argentina","46010.2340","2780400","Americas","South America"
"Spain","46719.1420","505992","Europe","Southern Europe"
"Uganda","48432.8630","241550","Africa","Eastern Africa"
"South Korea","51329.8990","100210","Asia","Eastern Asia"
"Colombia","51512.7620","1141748","Americas","South America"
"Myanmar","55227.1430","676578","Asia","South-Eastern Asia"
"Kenya","56215.2210","580367","Africa","Eastern Africa"
"Italy","60262.7700","301336","Europe","Southern Europe"
"South Africa","60756.1350","1221037","Africa","Southern Africa"
"Tanzania","63298.5500","945087","Africa","Eastern Africa"
"France","65584.5180","551695","Europe","Western Europe"
"United Kingdom","68497.9070","242900","Europe","Northern Europe"
"Thailand","70078.2030","513120","Asia","South-Eastern Asia"
"Germany","83883.5960","357114","Europe","Western Europe"
"Turkey","85561.9760","783562","Asia","Western Asia"
"Iran","86022.8370","1648195","Asia","Southern Asia"
"DR Congo","95240.7920","2344858","Africa","Middle Africa"
"Vietnam","98953.5410","331212","Asia","South-Eastern Asia"
"Egypt","106156.6920","1002450","Africa","Northern Africa"
"Philippines","112508.9940","342353","Asia","South-Eastern Asia"
"Ethiopia","120812.6980","1104300","Africa","Eastern Africa"
"Japan","125584.8380","377930","Asia","Eastern Asia"
"Mexico","131562.7720","1964375","Americas","Central America"
"Russia","145805.9470","17098242","Europe","Eastern Europe"
"Bangladesh","167885.6890","147570","Asia","Southern Asia"
"Brazil","215353.5930","8515767","Americas","South America"
"Nigeria","216746.9340","923768","Africa","Western Africa"
"Pakistan","229488.9940","881912","Asia","Southern Asia"
"Indonesia","279134.5050","1904569","Asia","South-Eastern Asia"
"United States","334805.2690","9372610","Americas","Northern America"
"India","1406631.7760","3287590","Asia","Southern Asia"
"China","1448471.4000","9706961","Asia","Eastern Asia"
